textID,selected_text
478bab6370,ui. where arre you going to study?
3f4e952c3c,cte
52e07ddeec,Happy
a58dec46f5,just completed button hunt 3
4bd5eca687,My back hurts 
2416dbd0dd,Than
e2bfbc6eda,heyyy you ALWAYS look nice  w
f7cfe686ee,what happened to my real-time feed? Now friend feed is just like the Twitter website
aa0443d930,`m still here! I just changed my avatar
734dfd272c, So 
60f43efdf6, Sweeny Todd is an aweso
bcf3c171b4,I`m a 100% Reagan con according to this quiz http://quizfarm.com/run.php/Quiz
f03ab652b7, Happy Mothers Da
f100af7a3b,homeee! my feet are sore
c9359dece4,Press `Ctrl` on bottom right. The underscore for E71 is there.
2b5f0387af,ly miss my
3399ed22b8,Morning. Forgot my daily booth yesterday.. shocking! I want to sit in the garden today and read but we have a huge bees nest
3698472ab7, my dad just bought me both of these  they`re tricky language th
0be333fbc4,.. Thank
ee2997c88a, really has anyone got through to the finals yet? yeah was it i was stuck in class for most of it  loveyoufletc
997d940897,"Any Windows 7 users out there have any tips on how to make the default install NOT take up 15GB??  I knew it would be big, but "
c2bdf76265,just got back from my exam... im surely go
a381d7bfa5,Just touched down in Changi. +1/2 hrs to kill before heading to Penang.  Must fly singapore air more often!
4d8925a0a9,": Geez, a cool man like him be the villains. Too bad"
a7f0b2d40b,"i want to go out tonight, but i ain`t go no money and no one to go with   any take"
b75ec8d96f,_Anderson your tweets were awesome  **** the heat. That`s what dencorub is 
8c650fdebd,got a surprising and sad news on a Friday  (clue:effect of global financial crisis) http://plurk.com/
4e985e6393,aww
f284612489,Wishing all MOMs a very Happy Mo
6b748f5a24,six more finals to go
4574ee1464,OMG that`s right HAHAHA I`m Stupid
620ba822f6,hey arthur! i forgot to say thanks for the flag... it is proudly displayed on my bedroom door! you are a witt
4536c335bf,so sad
b565083142,I like
628b7c8add,"i`m so sad, "
681aa610f3,Ugh..
07ab5e40a1, The funniest thing is when dudes that cant ball bring their hot gfs along so they can watch them get murked!
3dfbdeaf79," working on a logo & I keep getting click happy  Its me, not photoshop I dont they have a 'stupid stop clickin' in ps do they?"
d401b80d2a, Soetimes I envy those who have spent their whole lives in one place and have deep roots... the grass on the other side syndrom
1fd6118e78,i`m worried 
b55e8b3e2e,I`m having the same proble
23094aded9,Well poop.  Looks like the office doesn`t have the keys.  I don`t have the keys.  Neighbors don`t have the keys.   Bike rides f
b094214bd0,I like 
a64b492f72, I WISH I could be in bed by nine once in a while. I never make it in before 3-4 a.m.  #sleepdeprived. Doing too much.
92cf0bcb35,i been coolin and **** ya know 
80a0a9f2aa,"RP : RP : RP : My crack...--Here`s mine. ?----  I just threw up in my mouth lil bit--It`s my legs, L"
686732c2aa,ye it is not fare on me  x
fe98872319,ad y
905ae17f24, I walk to & from work...about 25 mins...think that makes it worse   Improves once indoors tho.
e9910ba2e1,Got insurance forms for Polo. Feel a bit  Has to be done thoug
2e7de7ae8d,LOVE y
0f03d180b7, xD 
eff041311d,Finally reunited with my Hunny bunny_0802 I have him for a few days b4 he leaves me again for another week away @ work  night!
24220bd19c,hahah im way too l
d3237c8fb3,:   whatcha reading
0aede53d2d,Burp the Frog 
c921a55077,"iny PhD`s will do, because those bigger than me keep taunting me"
f0a7954ef0,migraine and leg pain and woe ): should go to bed but it is 2 flights of stairs away. Happy mother`s day
f7afbbafe4,"h, I`ve gotta go to bed anyways. Goodnight."
4db58698d0,bless 
55de36766e, need some more aussies
95be4f8fd8,h snap... kinda 
577bd1ade6,going to the beach today
04769d82fd,love 
9b341fc2a7,Heading to the airpor
6f6e62720f,Early lunch then getting all dressed up for Amy`s confirmati
2945bc7632,feeling really dizzy  not soo good
36da939c78,_xo oh and i know brody and erin
d3d3539720,"Sorry blokey, 6 hrs later & i`m still holding ur fluffy towel. had to dash. Hope u found other means to dry ur self"
76cb9177b0,*hugs* listening to EBTG 'Each & Every One' perfect for public hol Monday morn with cuppa T
6a1e5568e8,im away from the comp....  ill be back late
e39af9f170, no omelette today  dim sum tomorrow! FEA
c345916798,awwww  nsty
0a763bb64c,ch better t
021e4d7fd7,See you on may 16!!
cacfb094e8,"o hopefully the sun will stay out for me! Gonna go get showered, twe"
9cc5b65030,Boarding the USS Enterprise.. Warp speed ahead!
1dfa6b2e92,t scarce thr
abf3fb41db,e...
c939514b1b,I have a FAC
43abce9b48,"And here goes my first Twitter from #TwitterBerry Application from my #BlackBerry Bold 9000..  Cheers, long live.. "
bfeaaf889e,just checked my account I also paid twice
dc801676b2,Nooooo
1e1f73642d,"Rope witdrawal in full effect, no one to tie, no teaching, no demos, no one to play with. But worst of all - No one to play wit"
84ca6bf479,o sad.
35c919dfab,hope its a 
fc370c3fc1,at it caps.  3-2
50be476af2,morning David have a safe journey a
e68742dc7f,mommy coming home from vegas tonight! going to pick her up later in islip her plane doesnt get in until 10:40. KILLME. i want m
134cac246b,Shouldn`t sit weir
2a5fb4cc78,I miss
053ae02081,won`t be going to the Oxford Internet Institute Summer Doctoral Programme in Brisbane: lack of
9632c35e86,God I just want to sleep
51616871a6,than
df0a8f7b4e,next time you are around please let me and  know and we will take you for lun
ed2d8e1682,i`m goin to bed now. see ya tomorrow twitter ppl.
7b82d63ee4,", s"
b9a0286741,The photos are AMAZING! What a GREAT subject & way to get people educated about Darfur! HUGS! U are an inspiring woman!
0a9700ccbf,"milan is retardeddddddd, anyone wanna see my paint pic of him ??"
dde52024e4,Finally at home. Who decides it`s time for more work at 17:10 on the Friday of a long weekend... apparently my client.
62ba17ea78,Feeling nauseo
156bf548bd,Well I guess the McCafe=tastes like **** cu
0d7319d9b3, sucks 
88840a2a93,hx 
cc5a4ab96a,thinks Aaron is pretty darn awesom
4012a68842,Coffee didn`t turn out good tiday but excellent
a2bf770138,I just watched my favorite movie 'A Walk to Remember' its so romantic and sad i just love it
7ff32ec148," its like a little adventure, only Im kinda worried about her, and I cant take the bus to where she is cos my oyster is broken"
7e843d7249,THE SUN IS SHINING< THE SKY IS FACKING BLUE< TELETUBBIES? I HAVE TO **** WORK.
0f5c867e5d,n weho! They`re are playing a lot of brit
6a6483f0b1, expensi
a82816a060, no one I know likes boiled peanuts t
99b75adc3b,Yes... today is Star Wars Day!    May the 4th be with yo
8f67bc22ae,hat`s how you go from series to season. The days of being an elite team are over in Dallas. EPL Derby Day tomorrow. Tell me wh
1e6c88ae91,t MAD
7a837cdd87,Back from Worcester.  My work week starts on Friday at 2
cdfbb6f7c8,"By the way, let me know when you want to schedule a round or two. Played highland woods monday. Shot 96."
6e5ce8da91,First Natalie and now little Holly. This is mean
a56fdab784,"ord is marlon brando gave him 25 cent . . . yeah , tha GODFA"
6b1d59bb35,SICP. Good to have both
4e077ecdc0,KICKIN BAK......NEED 2 DO MY HW..
0ba8d6cdb3,actually was planning on working @ w12th but alas meetings kaiboshed t
f9e7cec877,rlly dead?  Descanse em paz... #luto #sad
f26ab1a9d4,  that was meeeaaannn. people make mistakes ok?! 
65d7e927af,o sa
5c25597e48,Good 
05bc7a77ef,I love 
83f28fbd7f,and to you too!!!!
e97e3f1623,Wanted to buy Amber Bensons death`s daughter today and no where had it
17fc09827f,omg...did I just see a tweet from Miss Bonnie??? amazing...my phone died yesterday...and oster has alltel  I miss you
8d015c2747, http://twitpic.com/4jjdx - Soak your had in hot water (but not boiling) for about 30mins - it`ll pull them right out
7fb66b3ad5,fortunate
c30bf6f0e9,Wild Oats Pinot Grigio = v easy to dri
6ff152ffb9, **
ba5d1dc1ec, happ
ba6d24a864,Yeaup. I was gonna tell ya t
0d4aabd4b1,listening to music!! my phone just died on 
198194e6c7,"why i still lose followers?  the people hates me, THE WORLD "
92bb2fe635,one of my favori
018df5ca07,Dropped my lei off at the cemetary.
f33da9533a,'suprised' 
5dd521a5d8,The Rain Makes Me Sad. It
1c8f1e3718,My dog died today. We had her for 11 years. I miss her so muc
be45a8a0e9,trying to fix my internet connection...guess my `prayers` have been answered and i wont have any study distractions  ugh
ea28065085,I want to wish all the Mommy`s a happy mothers day!
248ec3c80d, Not a ba
62cc8a2ac6,? i love you taylorr ..
06993a0789, to have both on my desk!   Can you call me a techie?
9502f46624,is a college graduat
d16e5eac0f,Great
67a620edc9,_assassin  sucks about your cat... hope you guys feel be
718cb1f32c,Fighting a sore throat.. Few more days hard training then rest next week for Sunday race.. Oooohhh sun`s out... Nope.. Gone...
d237ef7b62,Star Warz day? Really..that is a hot topic
b8ea6c30db,bit excited
0bc2e46e4e, Thank
92570a7e5e,am i too late for a cuppa
41c7c2b3d1, sux
060d3914fa,Whoop
3e31964314,Hope
c1ca9236b0,Aww man.  arrived. How-To Guide-less
ac7475a944,"Yeah, yeah. Less #degenerate than current occupants of U.S. House of Reprehensibles. You can bet on that. Like MineTh"
4435584f59,Richelle Mead - Succubus Blues-fab
15297ade82,Happy N
494a81a478,Awe M
a71ecf3bcc,Suddenly I remember all the memories with him  ohhh p
a6ef1a8e11,I am so bored
9708dcc776, i can`t vote for  her i`m #frustraded 
5dae78c746,Chilli
a4ba644bf3,"Finally the school day ended, Friday Friday Friday w00t! But it`s raining outside"
